id,wegklasse,hoogteniveau,straatnaam,indicatie_voet_fiets,indicatie_brug,indicatie_tunnel,indicatie_ov_bus,indicatie_spoor,indicatie_toegankelijkheid,type_veer_route,minimum_breedte,maximum_breedte,gewogen_gemiddelde_breedte,weight,maximum_snelheid,start_node_id,end_node_id,datum_extractie,geometrie,geometrie_epsg_4326
571797,osm_platform,0,,True,False,False,False,False,False,,,,,20.89,0.0,350356,350348,2023-07-25,"SRID=28992;LINESTRING(116926.617789421 488199.458549394,116906.447280071 488204.894334263)","[(52.380338704146546, 4.828026601165888), (52.380386157428966, 4.8277297572717135)]"
571799,osm_platform,0,,True,False,False,True,False,False,,,,,36.88,0.0,375840,376161,2023-07-25,"SRID=28992;LINESTRING(118059.953796771 487912.047495177,118076.242940165 487907.60833879,118084.838697401 487906.987679575,118094.327743793 487909.264475917,118095.872769138 487909.753998401)","[(52.377833104145054, 4.844702601182411), (52.377794304145034, 4.844942301182648), (52.37778930414505, 4.845068601182774), (52.37781040414506, 4.845207701182909), (52.3778149074457, 4.845230336684214)]"
571803,osm_platform,0,,True,False,False,True,False,False,,,,,32.35,0.0,376161,376284,2023-07-25,"SRID=28992;LINESTRING(118095.872769138 487909.753998401,118126.715497258 487919.526141585)","[(52.3778149074457, 4.845230336684214), (52.377904804145125, 4.845682201183385)]"
571805,osm_platform,0,,True,False,False,True,False,False,,,,,3.79,0.0,377095,377101,2023-07-25,"SRID=28992;LINESTRING(118179.102160679 487927.001667985,118182.704277759 487928.187348208)","[(52.37797550414518, 4.8464507011841675), (52.37798640168315, 4.846503469886632)]"
571809,osm_platform,0,,True,False,False,True,False,False,,,,,22.43,0.0,377101,377102,2023-07-25,"SRID=28992;LINESTRING(118182.704277759 487928.187348208,118204.005269706 487935.198826267)","[(52.37798640168315, 4.846503469886632), (52.37805084340779, 4.846815516274058)]"
571811,osm_platform,0,,True,False,False,True,False,False,,,,,23.25,0.0,377102,377937,2023-07-25,"SRID=28992;LINESTRING(118204.005269706 487935.198826267,118218.933159147 487940.112520876,118226.106734027 487942.399663045)","[(52.37805084340779, 4.846815516274058), (52.37809600414522, 4.847034201184747), (52.37811703973529, 4.847139298162308)]"
571814,osm_platform,0,,True,False,False,True,False,False,,,,,1.78,0.0,377937,377938,2023-07-25,"SRID=28992;LINESTRING(118226.106734027 487942.399663045,118227.799705977 487942.939431236)","[(52.37811703973529, 4.847139298162308), (52.378122004145226, 4.847164101184885)]"
571869,osm_platform,0,,True,False,False,False,False,False,,,,,64.33,0.0,353701,353875,2023-07-25,"SRID=28992;LINESTRING(117134.578034638 488153.6842789,117147.852523261 488149.687998716,117196.805190302 488137.42913578)","[(52.379941704146376, 4.831085901168909), (52.37990670414631, 4.831281301169108), (52.37979990414629, 4.832001601169825)]"
571870,osm_platform,0,,True,False,False,False,False,False,,,,,3.32,0.0,590865,590864,2023-07-25,"SRID=28992;LINESTRING(118908.377160848 487998.793827197,118909.755244554 487995.768727288)","[(52.37866914101006, 4.85715271669347), (52.378642044302545, 4.857173279719709)]"
571872,osm_platform,0,,True,False,False,False,False,False,,,,,34.62,0.0,590884,590865,2023-07-25,"SRID=28992;LINESTRING(118894.027778063 488030.294782697,118897.820913501 488021.966369435,118908.377160848 487998.793827197)","[(52.37895130414571, 4.856938601194682), (52.37887670414568, 4.856995201194735), (52.37866914101006, 4.85715271669347)]"
